,NGA,RelTime,SPC1,PolPop,PolTerr,CapPop,levels,government,infrastr,writing,texts,money
166,Deccan,1000,0.811569213,6.799946183,5.875061263,4.84509804,4.989084762,0.9,0.744444444,0.975,0.95,5.0
167,Deccan,1100,0.79323038,6.771876373,5.77815125,5.0,5.102626565,0.79,0.777777778,0.975,0.875,3.6
168,Deccan,1200,0.794156053,6.76033535,5.77815125,5.0,5.102626565,0.79,0.777777778,0.975,0.875,3.6
169,Deccan,1300,0.819299087,6.868756583,6.566966295,4.784078476,5.070268124,0.866666667,0.7125,0.975,0.975,5.0
170,Deccan,1500,0.776915049,6.269917682,5.127319363,5.096910013,4.289529137,0.733333333,0.916666667,0.9,0.9625,5.0
171,Deccan,1600,0.689394339,5.803963086,4.406782381,3.276168294,3.956549117,0.9125,0.766666667,0.766666667,0.9625,5.0
172,Deccan,1700,0.823461921,7.397940009,5.549200961,5.0,4.776099468,0.9,0.977777778,0.8,0.971428571,5.0
173,Deccan,1800,0.832823656,7.397940009,5.549200961,5.345319697,4.776099468,0.9,0.977777778,0.8,0.971428571,5.0
174,Deccan,1900,0.832811869,7.397940009,5.549200961,5.461400424,4.776099468,0.9,0.977777778,0.8,0.971428571,5.0
175,Deccan,2000,0.894917238,8.125755834,6.654004924,5.971184091,5.666666667,0.972727273,0.89,0.833333333,0.975,5.0
176,Central Java,0,0.669788918,5.473757613,5.091726252,3.0,3.206344551,0.825,0.866666667,0.816666667,0.96,5.0
177,Central Java,100,0.675778444,5.473757613,5.091726252,3.0,3.539677884,0.825,0.866666667,0.816666667,0.96,5.0
178,Central Java,200,0.675778444,5.473757613,5.091726252,3.0,3.539677884,0.825,0.866666667,0.816666667,0.96,5.0
179,Central Java,300,0.713342492,5.434673806,4.825109165,4.931537774,4.333333333,0.8375,0.866666667,0.816666667,0.94,5.0
180,Central Java,400,0.725270514,5.396515931,4.825109165,5.429641968,4.333333333,0.8375,0.866666667,0.816666667,0.94,5.0
181,Central Java,500,0.788712149,6.698970004,5.698970004,5.03406164,4.333333333,0.89,0.95,0.816666667,0.95,4.0
182,Central Java,600,0.788712149,6.698970004,5.698970004,5.03406164,4.333333333,0.89,0.95,0.816666667,0.95,4.0
183,Central Java,700,0.788712149,6.698970004,5.698970004,5.03406164,4.333333333,0.89,0.95,0.816666667,0.95,4.0
184,Central Java,800,0.776242529,6.530916072,5.002233554,4.723072025,4.333333333,0.977777778,0.955555556,0.816666667,0.933333333,4.5
185,Central Java,900,0.776242529,6.530916072,5.002233554,4.723072025,4.333333333,0.977777778,0.955555556,0.816666667,0.933333333,4.5
186,Cambodian Basin,0,0.673645867,6.235248773,5.409990575,3.301029996,2.666666667,0.618181818,0.977777778,1.0,1.0,4.0
187,Cambodian Basin,100,0.673645867,6.235248773,5.409990575,3.301029996,2.666666667,0.618181818,0.977777778,1.0,1.0,4.0
188,Cambodian Basin,200,0.673645867,6.235248773,5.409990575,3.301029996,2.666666667,0.618181818,0.977777778,1.0,1.0,4.0
189,Cambodian Basin,300,0.664762288,5.254599225,5.421932813,3.301029996,2.857822693,0.61,0.888888889,1.0,1.0,4.0
190,Cambodian Basin,400,0.753939739,6.393323032,5.725094521,4.77815125,4.0,0.79,0.888888889,1.0,0.985714286,3.0
191,Cambodian Basin,500,0.783000327,6.311088695,5.725094521,5.477121255,4.0,0.79,0.888888889,1.0,0.985714286,3.0
192,Cambodian Basin,600,0.844608618,6.932781045,5.962296868,5.602059991,5.333333333,0.836363636,0.916666667,1.0,0.9875,4.0
193,Cambodian Basin,700,0.828655743,6.089213309,5.962296868,4.949478934,5.333333333,0.836363636,0.916666667,1.0,0.9875,4.0
194,Cambodian Basin,800,0.840908724,6.176091259,5.972778892,5.940407318,5.666666667,0.827272727,0.916666667,1.0,0.9875,4.0
195,Cambodian Basin,900,0.840908724,6.176091259,5.972778892,5.940407318,5.666666667,0.827272727,0.916666667,1.0,0.9875,4.0
196,Cambodian Basin,1000,0.812885255,6.176091259,5.414216291,5.924823463,5.666666667,0.827272727,0.875,1.0,0.975,3.6
197,Cambodian Basin,1100,0.812885255,6.176091259,5.414216291,5.924823463,5.666666667,0.827272727,0.875,1.0,0.975,3.6
198,Cambodian Basin,1200,0.810691153,5.959545876,5.446608612,4.563803737,6.666666667,0.827272727,0.916666667,1.0,0.9875,4.0
199,Cambodian Basin,1300,0.806050671,6.893139415,5.186462899,5.190331698,5.333333333,0.554545455,0.877777778,1.0,0.95,5.0
200,Cambodian Basin,1400,0.806732635,7.074097606,4.459819292,5.190331698,5.333333333,0.554545455,0.888888889,1.0,0.95,5.0
201,Cambodian Basin,1500,0.797298612,6.678242172,5.710218943,5.04826479,5.5,0.554545455,0.866666667,1.0,1.0,5.0
