,NGA,RelTime,SPC1
740,Kachi Plain,2700,0.806141972
741,Kachi Plain,2800,0.806545958
742,Kachi Plain,2900,0.819902671
743,Kachi Plain,3000,0.803125862
744,Kachi Plain,3100,0.874001984
745,Kachi Plain,3200,0.841906264
746,Kachi Plain,3300,0.8674214
747,Kachi Plain,3400,0.721539645
748,Kachi Plain,3500,0.709890194
749,Kachi Plain,3600,0.672250038
750,Kachi Plain,3700,0.829796518
751,Kachi Plain,3800,0.91423367
752,Kachi Plain,3900,0.710320076
753,Kachi Plain,4000,0.715172494
754,Kachi Plain,4100,0.847881201
755,Kachi Plain,4200,0.894917238
756,Kachi Plain,4300,0.69177788
757,Yemeni Coastal Plain,0,0.729009922
